States,Case_Reported,Female_Population,Rate_of_Cognizable_Crime
ANDHRA PRADESH,28246,421.5,33.4
ARUNACHAL PRADESH,171,6.62,12.4
ASSAM,11503,152.1,36.9
BIHAR,10231,496.1,9.9
CHHATTISGARH,4219,127.1,16.5
GOA,127,7.17,8.7
GUJARAT,8815,289,14.6
HARYANA,5491,118.4,21.7
HIMACHAL PRADESH,997,33.8,14.5
JAMMU & KASHMIR,3146,58.8,25.1
JHARKHAND,3132,160.3,9.5
KARNATAKA,9594,300.7,15.7
KERALA,11288,173.6,33.8
MADHYA PRADESH,16599,349.8,22.9
MAHARASHTRA,15728,540.1,14
MANIPUR,247,13.5,9.1
MEGHALAYA,269,14.7,9.1
MIZORAM,167,5.38,15.3
NAGALAND,38,9.54,1.9
ODISHA,9433,207.4,22.5
PUNJAB,2641,130.7,9.5
RAJASTHAN,19888,330,29
SIKKIM,55,2.86,9
TAMIL NADU,6940,359.8,9.6
TRIPURA,1358,17.9,37
UTTAR PRADESH,22639,949.8,11.3
UTTARAKHAND,996,49.6,9.8
WEST BENGAL,29133,444.2,31.9
A & N ISLANDS,51,1.7,13.4
CHANDIGARH,156,4.74,14.8
D & N HAVELI,18,1.49,5.2
DAMAN & DIU,11,0.92,4.5
DELHI,5234,77.7,31.2
LAKSHADWEEP,0,0.3,0
PUDUCHERRY,89,6.3,7.2
TOTAL (UTs),5559,200.82,27.7
TOTAL STATES,223091,11901.11,18.7
TOTAL (ALL-INDIA),228650,12101.93,18.9
