States,Rape,Dowry_Deaths,Domestic_Violence,Sexual_Harassment
ANDHRA PRADESH,1442,599,13376,3658
ARUNACHAL PRADESH,42,0,18,0
ASSAM,1700,121,5246,8
BIHAR,934,1413,2607,11
CHHATTISGARH,1053,104,834,174
GOA,29,1,18,12
GUJARAT,439,30,6052,93
HARYANA,733,255,2740,490
HIMACHAL PRADESH,168,4,239,62
JAMMU & KASHMIR,277,11,286,350
JHARKHAND,784,282,659,7
KARNATAKA,636,267,3712,81
KERALA,1132,15,5377,573
MADHYA PRADESH,3406,811,3732,762
MAHARASHTRA,1701,339,7136,1071
MANIPUR,53,1,39,0
MEGHALAYA,130,1,21,1
MIZORAM,77,0,9,1
NAGALAND,23,0,1,0
ODISHA,1112,465,2320,235
PUNJAB,479,143,1136,31
RAJASTHAN,1800,514,12218,9
SIKKIM,16,0,4,0
TAMIL NADU,677,152,1812,464
TRIPURA,205,30,702,9
UTTAR PRADESH,2042,2322,7121,3
UTTARAKHAND,129,83,307,72
WEST BENGAL,2363,510,19772,200
A & N ISLANDS,13,0,5,3
CHANDIGARH,27,2,46,12
D & N HAVELI,4,0,3,0
DAMAN & DIU,1,0,2,0
DELHI,572,142,1575,162
LAKSHADWEEP,0,0,0,0
PUDUCHERRY,7,1,10,16
TOTAL (UTs),624,145,1641,193
TOTAL STATES,23582,8473,97494,8377
TOTAL (ALL-INDIA),24206,8618,99135,8570
