States,Rape,Dowry_Deaths,Domestic_Violence
ANDHRA PRADESH,504,1341,13389
ARUNACHAL PRADESH,1,46,26
ASSAM,140,1716,6407
BIHAR,1275,927,3686
CHHATTISGARH,81,1034,980
GOA,0,55,24
GUJARAT,21,473,6658
HARYANA,258,668,3137
HIMACHAL PRADESH,2,183,251
JAMMU & KASHMIR,8,303,301
JHARKHAND,302,812,1261
KARNATAKA,218,621,3684
KERALA,32,1019,5216
MADHYA PRADESH,743,3425,3988
MAHARASHTRA,329,1839,7415
MANIPUR,0,63,43
MEGHALAYA,1,164,16
MIZORAM,0,103,8
NAGALAND,0,21,0
ODISHA,525,1458,2638
PUNJAB,118,680,1293
RAJASTHAN,478,2049,13312
SIKKIM,1,34,4
TAMIL NADU,110,737,1965
TRIPURA,37,229,858
UTTAR PRADESH,2244,1963,7661
UTTARAKHAND,71,148,368
WEST BENGAL,593,2046,19865
A & N ISLANDS,2,12,5
CHANDIGARH,5,27,73
D & N HAVELI,0,3,0
DAMAN & DIU,0,5,3
DELHI,134,706,1985
LAKSHADWEEP,0,0,1
PUDUCHERRY,0,13,6
TOTAL (UTs),141,766,2073
TOTAL STATES,8092,24157,104454
TOTAL (ALL-INDIA),8233,24923,106527
