STATES,Rapes,Dowry Deaths,Sexual Harassment,Cruelty by Husband
Andhra Pradesh,961,215,1072,6362
Arunachal Pradesh,83,1,21,42
Assam,1980,188,458,9626
Bihar,1127,1373,271,4672
Chhattisgarh,1436,128,649,964
Goa,95,0,50,35
Gujarat,841,23,405,5991
Haryana,1174,293,599,3478
Himachal Pradesh,283,1,159,325
Jammu & Kashmir,331,5,242,467
Jharkhand,1050,350,114,1462
Karnataka,1324,313,253,3025
Kerala,1347,28,980,4919
Madhya Pradesh,5076,733,3163,6451
Maharashtra,3438,279,4052,7696
Manipur,75,1,5,41
Meghalaya,118,1,0,42
Mizoram,120,0,53,8
Nagaland,30,0,5,3
Odisha,1978,441,802,3114
Punjab,981,90,344,1681
Rajasthan,3759,408,727,15905
Sikkim,47,0,14,5
Tamil Nadu,455,95,46,2103
Telangana,979,289,620,6369
Tripura,239,33,82,702
Uttar Pradesh,3467,2469,4435,10471
Uttarakhand,270,38,22,301
West Bengal,1466,501,1045,23278
TOTAL STATE(S),34530,8296,20688,119538
A & N Islands,32,3,18,14
Chandigarh,59,2,31,141
D&N Haveli,5,0,0,6
Daman & Diu,2,0,3,1
Delhi UT,2096,153,1186,3173
Lakshadweep,1,0,0,0
Puducherry,10,1,12,4
TOTAL UT(S),2205,159,1250,3339
TOTAL ALL INDIA,36735,8455,21938,122877
