STATES,Rape,Dowry_Deaths,Sexual_Harassment,Domestic_Violence
Andhra Pradesh,1027,174,1070,6121
Arunachal Pradesh,71,0,15,66
Assam,1733,216,499,11225
Bihar,1041,1154,78,3792
Chhattisgarh,1560,89,507,620
Goa,86,0,58,19
Gujarat,503,12,536,4133
Haryana,1070,243,688,3525
Himachal Pradesh,244,2,99,226
Jammu & Kashmir,296,6,244,400
Jharkhand,1053,267,531,1654
Karnataka,589,254,535,2732
Kerala,1256,8,1145,3668
Madhya Pradesh,4391,664,2559,5281
Maharashtra,4144,268,4751,7640
Manipur,46,0,2,39
Meghalaya,93,1,22,44
Mizoram,58,0,53,9
Nagaland,35,0,6,4
Odisha,2251,356,886,3605
Punjab,886,85,400,1583
Rajasthan,3644,463,649,14383
Sikkim,5,1,5,2
Tamil Nadu,421,65,197,1900
Telangana,1105,262,620,7329
Tripura,213,28,28,501
Uttar Pradesh,3025,2335,5925,8660
Uttarakhand,283,54,51,407
West Bengal,1199,498,674,20163
A & N Islands,36,0,23,14
Chandigarh,72,5,22,126
D&N Haveli,8,1,0,2
Daman & Diu,5,0,3,3
Delhi UT,2199,122,1150,3521
Lakshadweep,0,0,0,2
Puducherry,3,1,10,4
TOTAL UT(S),2323,129,1208,3672
TOTAL STATE(S),32328,7505,22833,109731
TOTAL ALL INDIA,34651,7634,24041,113403
