STATES,Dowry_Deaths,Domestic_Violence,Rape,Sexual_Harassment
Andhra Pradesh,193,6461,994,1305
Arunachal Pradesh,1,50,92,4
Assam,157,9321,1779,677
Bihar,987,3794,1008,124
Chhattisgarh,84,622,1626,244
Goa,2,23,61,41
Gujarat,12,3732,982,473
Haryana,260,3313,1187,699
Himachal Pradesh,3,214,252,114
Jammu & Kashmir,6,342,256,253
Jharkhand,278,1002,1109,373
Karnataka,234,2556,1655,703
Kerala,25,3455,1656,1273
Madhya Pradesh,629,6264,4882,3128
Maharashtra,248,7215,4189,4057
Manipur,0,29,55,15
Meghalaya,0,26,190,20
Mizoram,0,19,23,44
Nagaland,1,3,26,6
Odisha,397,2781,1983,979
Punjab,80,1568,838,325
Rajasthan,462,13811,3656,483
Sikkim,0,2,92,8
Tamil Nadu,58,1256,319,115
Telangana,254,7202,1278,859
Tripura,19,430,207,52
Uttar Pradesh,2473,11156,4816,9422
Uttarakhand,57,392,336,35
West Bengal,535,19302,1110,663
A & N Islands,0,7,30,15
Chandigarh,4,122,68,26
D&N Haveli,0,6,14,0
Daman & Diu,0,8,12,0
Delhi UT,162,3877,2155,796
Lakshadweep,0,2,5,0
Puducherry,0,15,6,13
TOTAL UT(S),166,4037,2306,850
TOTAL STATE(S),7455,106341,36657,26494
TOTAL ALL INDIA,7621,110378,39068,27344
