,,,,,,,,,,,,,,,,,,,,,,
Sr.,State/ Union Territories,,,,,,,,,,,,,,,,,,,,,
,,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1,MIZORAM,43.5,43.9,44.3,44.7,45.1,45.5,45.9,46.3,46.7,47.1,47.5,46.366,45.232,44.098,42.964,41.83,40.696,39.562,38.428,37.294,36.16
2,HIMACHAL PRADESH,34.8,35.69,36.58,37.47,38.36,39.25,40.14,41.03,41.92,42.81,43.7,43.812,43.924,44.036,44.148,44.26,44.372,44.484,44.596,44.708,44.82
3,CHHATTISGARH,41,40.9,40.8,40.7,40.6,40.5,40.4,40.3,40.2,40.1,40,39.97,39.94,39.91,39.88,39.85,39.82,39.79,39.76,39.73,39.7
4,MANIPUR (Excl. 3 Sub-divisions),39,39,39,39,39,39,39,39,39,39,39,38.956,38.912,38.868,38.824,38.78,38.736,38.692,38.648,38.604,38.56
5,DADRA & NAGAR HAVELI,48.8,47.79,46.78,45.77,44.76,43.75,42.74,41.73,40.72,39.71,38.7,37.355,36.01,34.665,33.32,31.975,30.63,29.285,27.94,26.595,25.25
6,SIKKIM,30.4,31.22,32.04,32.86,33.68,34.5,35.32,36.14,36.96,37.78,38.6,38.697,38.794,38.891,38.988,39.085,39.182,39.279,39.376,39.473,39.57
7,NAGALAND,38,38.01,38.02,38.03,38.04,38.05,38.06,38.07,38.08,38.09,38.1,38.764,39.428,40.092,40.756,41.42,42.084,42.748,43.412,44.076,44.74
8,ARUNACHAL PRADESH,37.5,37.4,37.3,37.2,37.1,37,36.9,36.8,36.7,36.6,36.5,36.394,36.288,36.182,36.076,35.97,35.864,35.758,35.652,35.546,35.44
9,MEGHALAYA,34.9,34.92,34.94,34.96,34.98,35,35.02,35.04,35.06,35.08,35.1,34.857,34.614,34.371,34.128,33.885,33.642,33.399,33.156,32.913,32.67
10,ANDHRA PRADESH,34.3,34.38,34.46,34.54,34.62,34.7,34.78,34.86,34.94,35.02,35.1,35.206,35.312,35.418,35.524,35.63,35.736,35.842,35.948,36.054,36.16
