State/UT Code,India/State/Union Territory #,Population,Males,Females,Percent,Sex Ratio (Females per 1000 Males)
,INDIA,1210193422,623724248,586469174,100,878
1,Jammu & Kashmir,12548926,6665561,5883365,1.04,992
2,Himachal Pradesh,6856509,3473892,3382617,0.57,920
3,Punjab,27704236,14634819,13069417,2.29,954
4,Chandigarh #,1054686,580282,474404,0.09,916
5,Uttarakhand,10116752,5154178,4962574,0.84,818
6,Haryana,25353081,13505130,11847951,2.09,991
7,NCT of Delhi #,16753235,8976410,7776825,1.38,775
8,Rajasthan,68621012,35620086,33000926,5.67,618
9,Uttar Pradesh,199581477,104596415,94985062,16.49,968
10,Bihar,103804637,54185347,49619290,8.58,918
11,Sikkim,607688,321661,286027,0.05,877
12,Arunachal Pradesh,1382611,720232,662379,0.11,974
13,Nagaland,1980602,1025707,954895,0.16,883
14,Manipur,2721756,1369764,1351992,0.22,947
15,Mizoram,1091014,552339,538675,0.09,968
16,Tripura,367102,1871867,1799165,0.3,1084
17,Meghalaya,2964007,1492668,1471339,0.24,946
18,Assam,31169272,15954927,15214345,2.58,930
19,West Bengal,91347736,46927389,44420347,7.55,925
20,Jharkhand,32966238,16931688,16034550,2.72,987
21,Orissa,41947358,21201678,20745680,3.47,986
22,Chhattisgarh,25540196,12827915,12712281,2.11,975
23,Madhya Pradesh,72597565,37612920,34984645,6,931
24,Gujarat,60383628,31482282,28901346,4.99,866
25,Daman & Diu #,242911,150100,92811,0.02,978
26,Dadra & Nagar Haveli #,342853,193178,149675,0.03,1038
27,Maharashtra,112372972,58361397,54011575,9.29,893
28,Andhra Pradesh,84665533,42509881,42155652,7,926
29,Karnataka,61130704,31057742,30072962,5.05,889
30,Goa,1457723,740711,717012,0.12,995
31,Lakshadweep #,64429,33106,31323,0.01,961
32,Kerela,33387677,16021290,17366387,2.76,908
33,Tamil Nadu,72138958,36158871,35980087,5.96,963
34,Puducherry #,1244464,610485,633979,0.1,947
35,Andaman & Nicobar Islands #,379944,202330,177614,0.03,
