Category: All categories

Region,xxx: (2017)
Bihar,100
Assam,77
West Bengal,73
Chandigarh,72
Madhya Pradesh,71
Uttar Pradesh,69
Gujarat,69
Delhi,60
Himachal Pradesh,59
Rajasthan,55
Jammu and Kashmir,55
Odisha,49
Maharashtra,49
Uttarakhand,44
Dadra and Nagar Haveli,40
Jharkhand,40
Manipur,38
Haryana,37
Arunachal Pradesh,36
Nagaland,35
Sikkim,34
Daman and Diu,34
Punjab,33
Chhattisgarh,33
Karnataka,33
Meghalaya,29
Tripura,29
Telangana,28
Tamil Nadu,24
Kerala,24
Mizoram,23
Andhra Pradesh,18
Goa,18
Andaman and Nicobar Islands,16
Puducherry,13
