state,code,2011,2012,2013,2014,2015,2016
ANDHRA PRADESH,AP,28246,28171,32809,30648,31066,31736
ARUNACHAL PRADESH,ARP,171,201,288,351,384,367
ASSAM,AS,11503,13544,17449,19139,23258,20869
BIHAR,BI,10231,11229,13609,15383,13891,13400
CHHATTISGARH,CH,4219,4228,7012,6255,5720,5947
GOA,GO,127,200,440,488,365,371
GUJARAT,GJ,8815,9561,12283,10837,7762,8532
HARYANA,HR,5491,6002,9089,8974,9446,9839
HIMACHAL PRADESH,HP,997,912,1478,1517,1289,1222
JAMMU & KASHMIR,JK,3146,3328,3509,3321,3363,2850
JHARKHAND,JH,3132,4536,6506,5972,6518,5453
KARNATAKA,KT,9594,10366,12027,13914,12705,14131
KERALA,KR,11288,10930,11216,11380,9708,10034
MADHYA PRADESH,MP,16599,16832,22061,28678,24135,26604
MAHARASHTRA,MH,15728,16353,24895,26693,31126,31388
MANIPUR,MN,247,304,285,337,266,253
MEGHALAYA,MY,269,255,343,388,334,372
MIZORAM,MZ,167,199,177,258,158,120
NAGALAND,NL,38,51,67,67,90,105
ODISHA,OD,9433,11988,14173,14606,17144,17837
PUNJAB,PJ,2641,3238,4994,5425,5291,5105
RAJASTHAN,RJ,19888,21106,27933,31151,28165,27422
SIKKIM,SK,55,68,93,110,53,153
TAMIL NADU,TN,6940,7192,7475,6325,5847,4463
TRIPURA,TR,1358,1559,1628,1615,1267,1013
UTTAR PRADESH,UP,22639,23569,32546,38467,35527,49262
UTTARAKHAND,UT,996,1067,1719,1395,1453,1588
WEST BENGAL,WB,29133,30942,29826,38299,33218,32513
A & N ISLANDS,AN,51,49,106,115,136,108
CHANDIGARH,CD,156,241,488,432,463,414
D & N HAVELI,DNH,18,16,21,21,25,28
DAMAN & DIU,DD,11,11,24,15,28,41
DELHI,DL,5234,5959,12888,15265,17104,15310
LAKSHADWEEP,LP,0,2,3,4,9,9
PUDUCHERRY,PY,89,61,86,77,80,95
