STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,420,449,466,512,443,519,613,556,546,588,599,504,492,504,436,447
Arunachal Pradesh,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Assam,59,70,60,74,99,105,100,103,170,175,121,140,170,188,216,157
Bihar,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182,1373,1154,987
Chhattisgarh,70,85,79,71,100,103,100,106,128,115,104,81,109,128,89,84
Goa,2,2,2,2,2,0,2,2,3,1,1,0,0,0,0,2
Gujarat,67,62,54,58,48,50,42,27,24,19,30,21,29,23,12,12
Haryana,285,256,222,251,212,255,269,302,281,284,255,258,263,293,243,260
Himachal Pradesh,10,6,6,8,2,3,8,3,1,2,4,2,0,1,2,3
Jammu & Kashmir,13,18,10,9,5,10,9,21,12,9,11,8,7,5,6,6
Jharkhand,217,275,262,275,257,281,303,266,295,276,282,302,307,350,267,278
Karnataka,220,233,194,259,261,244,251,259,264,248,267,218,277,313,254,234
Kerala,27,17,33,31,21,25,27,31,20,22,15,32,21,28,8,25
Madhya Pradesh,609,674,648,751,739,764,742,805,858,892,811,743,776,733,664,629
Maharashtra,308,303,368,314,341,387,436,390,341,393,339,329,320,279,268,248
Manipur,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Meghalaya,0,0,0,2,1,6,2,2,0,0,1,1,2,1,1,0
Mizoram,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Odisha,294,248,279,319,334,457,461,401,384,388,465,525,395,441,356,397
Punjab,159,166,110,113,99,130,133,128,126,121,143,118,126,90,85,80
Rajasthan,376,399,389,379,361,394,439,439,436,462,514,478,453,408,463,462
Sikkim,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,191,243,220,225,215,187,208,207,194,165,152,110,118,95,65,58
Tripura,16,16,20,20,34,35,36,16,29,25,30,37,29,33,28,19
Uttar Pradesh,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2469,2335,2473
Uttarakhand,56,66,93,82,63,80,70,73,94,75,83,71,43,38,54,57
West Bengal,265,273,329,396,446,445,451,451,506,507,510,593,481,501,498,535
A&N Islands,0,0,0,0,0,0,1,2,1,0,0,2,1,3,0,0
Chandigarh,3,1,1,6,3,10,1,3,2,5,2,5,1,2,5,4
D&N Haveli,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Daman & Diu,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Delhi UT,113,135,130,126,114,137,138,129,141,143,142,134,144,153,122,162
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,1,5,1,6,4,3,2,2,0,1,1,0,1,1,1,0
