S. no.,State / uts,In Rupees
1,Andhra Pradesh,11341200
2,Arunachal Pradesh,654300
3,Assam,15703200
4,Andaman & Nicobar,443200
5,Bihar,6979200
6,Chhattisgarh,1744800
7,NCT of Delhi,1400000
8,Goa,436200
9,Gujarat,3053400
10,Haryana,436200
11,J & K,2617200
12,Jharkhand,1308600
13,Karnataka,26608200
14,Kerala,3489600
15,Madhya Pradesh,2617200
16,Maharashtra,33151200
17,Mizoram,1308600
18,Manipur,15048900
19,Nagaland,654300
20,Odisha,15673250
21,Puducherry,727000
22,Punjab,872400
23,Rajasthan,6106800
24,Sikkim,654300
25,Tamil Nadu,17448000
26,Telangana,10468800
27,Tripura,2617200
28,Uttar Pradesh,31406400
29,Uttarakhand,5888700
,total,220858350
