"Sl.no.",States/uts,"no. ofDistrictsCovered",2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,"2016-17(As on31.12.2016)"
1,Andhra Pradesh,1,0,17364,65762,72988,49196,NR,6768
2,Arunachal Pradesh,1,0,1270,270,276,612,Nil,334
3,Assam,2,0,0,13865,46663,NR,NR,NR
4,Bihar,2,0,26171,75669,60733,52617,NR,NR
5,Chhattisgarh,2,NR,6295,13613,11639,NR,NR,NR
6,Goa,1,0,0,3612,861,3958,1943,3113
7,Gujarat,2,NR,24169,26226,22982,27309,NR,27812
8,Haryana,1,0,3760,2483,2915,4200,1875,1875
9,Himachal Pradesh,1,NR,3884,1780,2654,4198,6126,6126
10,Jammu & Kashmir,2,NR,7873,10767,7246,17659,NR,6585
11,Jharkhand,2,0,9247,7417,8700,8815,NR,7576
12,Karnataka,2,0,21780,29069,26141,23342,9089,26933
13,Kerala,1,NR,15280,31962,27025,13947,12288,12288
14,Madhya Pradesh,2,0,73865,66431,46494,55496,51268,51268
15,Maharashtra,2,0,13897,47071,46809,50238,NR,NR
16,Manipur,1,NR,3247,0,NR,NR,NR,NR
17,Meghalaya,1,NR,1686,1199,850,NR,NR,NR
18,Mizoram,1,0,0,2193,329,NR,Nil,Nil
19,Nagaland,1,NR,NR,864,1052,333,NR,NR
20,Odisha,2,0,29325,39714,36012,38438,19288,41699
21,Punjab,2,NR,690,12247,8319,7894,NR,NR
22,Rajasthan,2,0,25067,41940,36947,47043,31037,31037
23,Sikkim,1,NR,528,1165,304,362,124,124
24,Tamil Nadu,2,0,NR,43178,41672,43203,30731,43198
25,Telangana,1,,,,,87141,NR,NR
26,Tripura,1,0,2642,5031,2506,3740,1894,1894
27,Uttar Pradesh,3,NR,11141,14461,5560,2950,NR,NR
28,Uttarakhand,1,0,6766,6955,13074,9830,NR,5213
29,West Bengal,2,NR,0,58321,36090,53448,NR,NR
30,Delhi,2,0,3734,12049,15796,8365,5212,9425
31,"Andaman & NicobarIslands",1,259,300,394,2858,596,596,1197
32,Puducherry,1,0,1404,518,171,722,NR,NR
33,Chandigarh,1,0,1700,5953,3228,768,NR,277
34,Daman & Diu,1,0,NR,554,77,NR,NR,NR
35,"Dadra & NagarHaveli",1,0,1104,1434,NR,NR,NR,159
36,Lakshadweep,1,NR,NR,0,NR,NR,NR,NR
,total,53,259,309749,644167,588971,616420,169596,284901
,,,,,,,,,
,NR:Not Reported,,,,,,,,
*Figure in lakhs,,,,,,,,,
