"Sl.no.",name of the State,Amount sanctioned [Rupees in lakhs],,,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,"2016-17  (As on31.12.2016)"
1,Andhra Pradesh,504.49,902.54,2038.24,1689.48,1206.5,301.62,238.58,110.74
2,Arunachal Pradesh,-,-,-,147.05,54.74,130.68,571.68,52.29
3,Assam,129.92,301.79,-,740.36,1080,1010.36,597.9,413.64
4,Bihar,-,604.58,115.22,871.78,957.56,204.75,2687.89,551.62
5,Chhattisgarh,206.13,-,-,397.3,213.34,821.24,3955.55,527.77
6,Goa,-,-,-,-,-,100,235.25,36.83
7,Gujarat,269.42,490.54,626.37,1213.28,979.35,1925.75,2328.9,769.95
8,Haryana,25.89,371.86,147.29,748.85,1085.51,1526.72,496.44,0
9,Himachal Pradesh,-,-,314.47,-,84.96,835.71,604.04,2345.48
10,Jammu & Kashmir,-,-,-,-,-,0,113.35,43.12
11,Jharkhand,-,-,420.67,-,144.96,36.03,369.88,152.84
12,Karnataka,203.11,381.67,1410.91,1856.5,2403.63,3689.87,1845.24,507.56
13,Kerala,149.16,320.21,333.33,-,718.17,1354.35,944.39,216.96
14,Madhya Pradesh,481.62,-,240.31,1223.1,546.03,1889.69,1116.03,2503.88
15,Maharashtra,-,3730.28,1174.79,976.71,557.56,762.32,3138.75,699.53
16,Manipur,105.42,202.29,216.16,311.28,658.15,138.48,3082.18,241.34
17,Meghalaya,-,102.13,211.25,474.3,762.45,2003.83,1469.55,2060.33
18,Mizoram,-,195.36,225.46,504.95,696.42,1919.02,2079.44,1949.55
19,Nagaland,190.12,-,942.51,838.32,911.41,957.41,2257.65,382.75
20,Odisha,146.42,545.38,546.98,671.33,1227.2,2544.82,3309.07,910.39
21,Punjab,-,-,574.65,-,191.27,507.12,820.81,253.6
22,Rajasthan,225.07,332.47,566.55,2014.93,2347.56,3395.82,3258.92,0
23,Sikkim,-,-,88.94,-,15.97,390.24,562,117.5
24,Tamil Nadu,193.12,447.65,1276.56,4326.82,2131.05,3067.1,825.04,5638.82
25,Telangana,,,,,,2087.59,354.88,195.64
26,Tripura,-,221.4,198.38,190.3,124.42,1227.34,710.63,676.04
27,Uttar Pradesh,-,-,2142.25,1662.48,1109.39,1798.9,2884.18,3207.19
28,Uttarakhand,-,-,-,-,333.92,83.48,66.88,15.54
29,West Bengal,500.86,186.83,1205.52,547.06,2373.04,2574.04,508.67,3017.11
30,"Andaman &Nicobar Island",-,-,-,-,-,145.9,36.03,36.88
31,Chandigarh,-,-,17.96,49.84,17.58,21.98,357.82,245.44
32,"Dadra & NagarHaveli",-,-,-,12.78,2.09,68.61,58.66,177.59
33,Daman & Diu,-,-,-,16.53,69.28,80.61,82.82,126.42
34,Delhi,-,237.29,341.93,1093.98,404.73,606.22,1363.4,978.64
35,Lakshadweep,-,-,-,-,-,0,0,0
36,Puducherry,-,107.22,-,150,64.66,1168.57,559.6,175.02
37,Other,,43.12,61.04,97.36,101.09,105.57,164.77,86.81
38,"Childline IndiaFoundation (CIF)",932.98,1789.9,2316.37,3082.63,3004.1,5361.74,5673.08,4132.84
,total,4263.73,11514.51,17754.11,25909.3,26578.09,44843.48,49729.95,33557.65
