S.No.,"Name & Address of the NGO/Organisations/Institute","NumberofLegalAwarenessProgramme/Thrust Area and placewhere held","AmountSanctioned(in Rs)"
,Andhra Pradesh,,
1,"NikkileshEducationAcademy,Kurnool, Andhra Pradesh","Two Legal Awareness Programme on Women Rights  at Kurnool, AndhraPradesh", 100000/-
2,"DharmaTejaWelfareSociety,Karimnagar, Andhra Pradesh","Two Legal Awareness Programme on Rights of Women  at Karimnagar,Andhra Pradesh",100000/-
,Bihar,,
3,"Jeevan Jyoti Kendra, Muzaffarpur, Bihar","Five Legal Awareness Programme on Violence against Women in MinorityCommunitie ForWomenatSitamarhi, Bihar",250000/-
4,"Chikka Federation of India, Muzaffarpur,Bihar","Six Legal Awareness Programme OnViolence Against Women In MinorityCommunitiesù at Muzaffarpur, Bihar",300000/-
5,"Himalaya Foundation, Sheohar, Bihar","Six Legal Awareness Programme On Violence Against Women In MinorityCommunities at Sheoher, Bihar",300000/-
6,"Youth&SocialWelfareSociety,Muzaffarpur, Bihar","Six Legal Awareness Programme On Violence Against Women In MinorityCommunities at East Champaran,Bihar", 300000/-
7,"Deen Avam Berozgar Sakha, Nalanda,Bihar","Two Legal Awareness Programme forWomen at Nalanda, Bihar",100000/-
,Chhattisgarh,,
8,"Sarvangin Vikas Mahila Mandal, Bilaspur,Chhattisgarh","Four Legal Awareness Programme on WomenonPropertyRights atBilaspur, Chhattisgarh",200000/-
9,"Jan Jati Vikas Samiti, Kondagaon,Chhattisgarh","Four Legal Awareness Programme on Women on Matrimonial PropertyRights at Kondagaon, Chhattisgarh",200000/-
,,,
10,"Adarsh Nehru Yuva Mandal, Narayanpur,",Four Legal Awareness Programme on,200000/-
,Chhattisgarh,"Women Rights  at Narayanpur,",
,,Chhattisgarh,
11,"Nishta Mahila Mandal, Raigarh,",Two Legal Awareness Programme on,100000/-
,Chhattisgarh,Women On Preventing Rape‚Äù at,
,,Raigarh Chhattisgarh,
,Delhi,,
12,"Good Shepherd Foundation, Delhi",Two Legal Awareness Programme on,100000/-
,,"Legal Right at Raigarh, Chhattisgarh",
,Haryana,,
13,"Shristi Kalyan Samiti, Panipat, Haryana",Four Legal Awareness Programmeon,200000/-
,,Rural Women About Various Free Legal,
,,"Services at  Panipat, Haryana",
14,"Vishavkarma Educational Society,",Four Legal Awareness Programme on,200000/-
,"Sonepat, Haryana","women Rights at Sonepat, Haryana",
15,"Bhartiya Manav Adhikar Maurcha,",Five Legal Awareness Programme on,250000/-
,"Yamunanagar, Haryana",women Workers issues at,
,,"Yamunanagar, Haryana",
,Jharkhand,,
16,Association For Social and Human,Four Legal Awareness Programmeon,200000/-
,"Awareness, Ranchi, Jharkhand","women Rights at Ranchi, Jharkhand",
,Karnataka,,
17,Sri Siddalingeswara Unne Nekaarara,Two Legal Awareness Programme on,100000/-
,"Kshemabhivrudhi Sangha, Bangalore,",Rural Women at Bangalore Karnataka,
,Karnataka,,
,Madhya Pradesh,,
18,"Balaji Sarvangeen Vikas Samiti, Bhind,",Two Legal Awareness Programme on,100000/-
,Madhya Pradesh,"Women Violenceù at Bhind, Madhya",
,,Pradesh,
19,"Sarv Kalyan Mahila Mandal, Bhopal,",Two Legal Awareness Programmeon,100000/-
,Madhya Pradesh,Sex Ratio and Female Foeticide at,
,,"Jhabua and Jabalpur, Madhya Pradesh",
20,"Nari Vikas Mahila Mandal, Rewa, Madhya",Two Legal Awareness Programmeon,100000/-
,Pradesh,"women and Girls at Rewa, Madhya",
,,Pradesh,
21,"Dalchand Ajab Bal Education Society,",Two Legal Awareness Programme on,100000/-
,"Bhopal, Madhya Pradesh","Violence to Women at Bhopal,",
,,Madhya Pradesh,
22,"Dalchand Ajab Bal Education Society,",Two Legal Awareness Programmeon, 100000/-
