S. no.,"name of State /ut",Functional,"Achievement for the year 2016-17(01.04.2016 to 31.12.2016)",,,,
,,physical,Financial,,,,
,,,,"no. of Cen-tres Sanc.","AmountSanc.","AmountRel.","no. ofBene."
1,Andhra Pradesh,111,151.45,8,10.92,-,192
2,Chattisgarh,268,365.66,168,229.22,-,4032
3,Gujarat,246,335.64,121,165.09,-,2904
4,Haryana,45,61.4,0,0,-,0
5,Himachal Pradesh,5,6.82,0,0,-,0
6,Jammu & Kashmir,130,177.37,106,144.63,13.64,2544
7,Jharkhand,324,442.07,47,64.13,-,1128
8,Karnataka,10,13.64,10,13.64,-,240
9,Madhya Pradesh,382,521.2,380,518.47,-,9120
10,Maharashtra,406,553.95,305,416.14,-,7320
11,Odisha,220,300.17,0,0,-,0
12,Puducherry,55,75.04,0,0,-,0
13,Tamil Nadu,74,100.97,18,24.56,-,432
14,Telangana,174,237.4,63,85.96,-,1512
15,Uttar Pradesh,429,585.33,429,585.33,-,10296
16,Uttarakhand,220,300.17,154,210.12,-,3696
17,West Bengal,116,158.27,0,0,-,0
,total,3215,4386.55,1809,2468.2,13.64,43416
,NORTH EASTERN STATES,,,,,,
18,Assam,48,65.49,36,49.12,-,864
19,Arunachal Pradesh,21,28.65,-,-,-,-
20,Manipur,77,105.06,-,-,-,-
,total,146,199.2,-,-,-,-
,Grand total,3361,4585.75,1845,2517.32,13.64,44280
,,,,,,,
*Rs in lakhs,,,,,,,
