Sl.,States / UTs.,Population per
No.,,Policeman
,,Actual
1,Andhra Pradesh,953
2,Arunachal Pradesh,161
3,Assam,566
4,Bihar,1456
5,Chhattisgarh,525
6,Goa,343
7,Gujarat,1021
8,Haryana,610
9,Himachal Pradesh,460
10,Jammu & Kashmir,192
11,Jharkhand,567
12,Karnataka,751
13,Kerala,765
14,Madhya Pradesh,962
15,Maharashtra,829
16,Manipur,119
17,Meghalaya,239
18,Mizoram,98
19,Nagaland,94
20,Orissa,899
21,Punjab,383
22,Rajasthan,895
23,Sikkim,157
24,Tamil Nadu,713
25,Tripura,101
26,Uttar Pradesh,1173
27,Uttarakhand,638
28,West Bengal,1658
29,A&N Islands,122
30,Chandigarh,159
31,D&N Haveli,1046
32,Daman & Diu,805
33,Delhi,253
34,Lakshadweep,250
35,Puducherry,433
,All India,761
