Sl.,States / UTs.,Population per
No.,,Policeman
,, Actual
1,Andhra Pradesh,886
2,Arunachal  Pradesh,114
3,Assam,563
4,Bihar,1453
5,Chhattisgarh,542
6,Goa,347
7,Gujarat,884
8,Haryana,665
9,Himachal Pradesh,481
10,Jammu & Kashmir,165
11,Jharkhand,561
12,Karnataka,852
13,Kerala,702
14,Madhya Pradesh,953
15,Maharashtra,588
16,Manipur,102
17,Meghalaya,236
18,Mizoram,100
19,Nagaland,95
20,Odisha,911
21,Punjab,453
22,Rajasthan,802
23,Sikkim,158
24,Tamil Nadu,721
25,Tripura,155
26,Uttar Pradesh,1234
27,Uttarakhand,570
28,West Bengal,1286
29,A&N Islands,137
30,Chandigarh,218
31,D&N Haveli,1402
32,Daman & Diu,1175
33,Delhi,256
34,Lakshadweep,279
35,Puducherry,564
,All India,733
